number,name,symbol,name_symbol,pronunciation,appearance,atomic_number,group_block,period,element_category,atomic_weight,electron_configuration,per_shell,color,phase,melting_point,boiling_point,density_at_stp,when_liquid_at_mp,when_liquid_at_bp,triple_point,critical_point,heat_of_fusion,heat_of_vaporization,molar_heat_capacity,p_(pa),oxidation_states,electronegativity,ionization_energies,covalent_radius,van_der_waals_radius,crystal_structure,speed_of_sound,thermal_conductivity,magnetic_ordering,cas_number,discovery,named_by,iso,at_t_(k),naming,first_isolation,density_near_rt,atomic_radius,speed_of_sound_thin_rod,thermal_expansion,electrical_resistivity,youngs_modulus,shear_modulus,bulk_modulus,mohs_hardness,brinell_hardness,poisson_ratio,vickers_hardness,allotropes,density_when_liquid_at_mp,sublimation_point,recognized_as_an_element_by,heat_of_vaporisation,ionisation_energies,prediction,discovery_and_first_isolation,alternative_name,band_gap,recognised_as_an_element_by,curie_point,recognized_as_a_unique_metal_by,recognized_as_a_distinct_element_by,thermal_diffusivity,tensile_strength,molar_volume,proposed_formal_name,alternative_names
45,rhodium,rh,"rhodium, rh","/?ro?di?m/, roh-dee-?m",silvery white metallic,45,"group 9, d-block",5,transition metal,102.905502,[kr] 4d8 5s1,2,,solid,2237,3968,,10.7,,,,26.59,493,24.98,"vapor pressure, p (pa), 1, 10, 100, 1 k, 10 k, 100 k, at t (k), 2288, 2496, 2749, 3063, 3405, 3997",6,pauling scale: 2.28,"1st: 719.7 kj/mol, 2nd: 1740 kj/mol, 3rd: 2997 kj/mol",142±7 pm,,face-centered cubic (fcc),,150,paramagnetic,7440-16-6,,,"iso
na
half-life
dm
de (mev)
dp


99rh
syn
16.1 d
?
–
99ru


?
0.089, 0.353,
0.528
–


101mrh
syn
4.34 d
?
–
101ru


it
0.157
101rh


?
0.306, 0.545
–


101rh
syn
3.3 y
?
–
101ru


?
0.127, 0.198,
0.325
–


102mrh
syn
3.7 y
?
–
102ru


?
0.475, 0.631,
0.697, 1.046
–


102rh
syn
207 d
?
–
102ru


?+
0.826, 1.301
102ru


??
1.151
102pd


?
0.475, 0.628
–


103rh
100%
103rh is stable with 58 neutrons


105rh
syn
35.36 h
??
0.247, 0.260,
0.566
105pd


?
0.306, 0.318
–",2288,,,12.41,empirical: 134 pm,4700,8.2,43.3,380,150,275,6,980–1350 mpa,0.26,1100–8000 mpa,,,,,,,,william hyde wollaston (1804),,,,,,,,,,,
46,palladium,pd,"palladium, pd","/p??le?di?m/, p?-lay-dee-?m",silvery white,46,"group 10, d-block",5,transition metal,106.421,[kr] 4d10,2,,solid,1828.05,3236,,10.38,,,,16.74,358,25.98,"vapor pressure, p (pa), 1, 10, 100, 1 k, 10 k, 100 k, at t (k), 1721, 1897, 2117, 2395, 2753, 3234",0,pauling scale: 2.20,"1st: 804.4 kj/mol, 2nd: 1870 kj/mol, 3rd: 3177 kj/mol",139±6 pm,163,face-centered cubic (fcc),,71.8,paramagnetic,7440-05-3,,,"iso
na
half-life
dm
de (mev)
dp


100pd
syn
3.63 d
?
–
100rh


?
0.084, 0.074,
0.126
–


102pd
1.02%
102pd is stable with 56 neutrons


103pd
syn
16.991 d
?
–
103rh


104pd
11.14%
104pd is stable with 58 neutrons


105pd
22.33%
105pd is stable with 59 neutrons


106pd
27.33%
106pd is stable with 60 neutrons


107pd
trace
6.5×106 y
??
0.033
107ag


108pd
26.46%
108pd is stable with 62 neutrons


110pd
11.72%
110pd is stable with 64 neutrons",1721,"after asteroid pallas, itself named after pallas athena",,12.023,empirical: 137 pm,3070,11.8,105.4,121,44,180,4.75,320–610 mpa,0.39,400–600 mpa,,,,,,,,william hyde wollaston (1803),,,,,,,,,,,
47,silver,ag,"silver, ag","/?s?lv?r/, sil-v?r",lustrous white metal,47,"group 11, d-block",5,transition metal,107.86822,[kr] 4d10 5s1,2,,solid,1234.93,2435,,9.32,,,,11.28,254,25.35,"vapor pressure, p (pa), 1, 10, 100, 1 k, 10 k, 100 k, at t (k), 1283, 1413, 1575, 1782, 2055, 2433","?2, ?1, 1, 2, 3, 4 (an amphoteric oxide)",pauling scale: 1.93,"1st: 731.0 kj/mol, 2nd: 2070 kj/mol, 3rd: 3361 kj/mol",145±5 pm,172,face-centered cubic (fcc),,429,diamagnetic,7440-22-4,before 5000 bc,,"iso
na
half-life
dm
de (mev)
dp


105ag
syn
41.2 d
?
–
105pd


?
0.344, 0.280,
0.644, 0.443
–


106mag
syn
8.28 d
?
–
106pd


?
0.511, 0.717,
1.045, 0.450
–


107ag
51.839%
107ag is stable with 60 neutrons


108mag
syn
418 y
?
–
108pd


it
0.109
108ag


?
0.433, 0.614,
0.722
–


109ag
48.161%
109ag is stable with 62 neutrons


111ag
syn
7.45 d
??
1.036, 0.694
111cd


?
0.342
–",1283,,,10.49,empirical: 144 pm,2680,18.9,15.87,83,30,100,2.5,206–250 mpa,0.37,251,,,,,,,,,,,,,,,174,,,,
48,cadmium,cd,"cadmium, cd","/?kædmi?m/, kad-mee-?m",silvery bluish-gray metallic,48,"group 12, d-block",5,"transition metal, alternatively considered a post-transition metal",112.4144,[kr] 4d10 5s2,2,,solid,594.22,1040,,7.996,,,,6.21,99.87,26.02,"vapor pressure, p (pa), 1, 10, 100, 1 k, 10 k, 100 k, at t (k), 530, 583, 654, 745, 867, 1040",2,pauling scale: 1.69,"1st: 867.8 kj/mol, 2nd: 1631.4 kj/mol, 3rd: 3616 kj/mol",144±9 pm,158,hexagonal close-packed (hcp),,96.6,diamagnetic,7440-43-9,,friedrich stromeyer (1817),"iso, na, half-life, dm, de (mev), dp, 106cd, 1.25%, 106cd is stable with 58 neutrons, 107cd, syn, 6.5 h, ?, 1.417, 107ag, 108cd, 0.89%, 108cd is stable with 60 neutrons, 109cd, syn, 462.6 d, ?, 0.214, 109ag, 110cd, 12.47%, 110cd is stable with 62 neutrons, 111cd, 12.80%, 111cd is stable with 63 neutrons, 112cd, 24.11%, 112cd is stable with 64 neutrons, 113cd, 12.23%, 7.7×1015 y, ??, 0.316, 113in, 113mcd, syn, 14.1 y, ??, 0.580, 113in, it, 0.264, 113cd, 114cd, 28.75%, 114cd is stable with 66 neutrons, 115cd, syn, 53.46 h, ??, 1.446, 115in, 116cd, 7.51%, 3.1×1019 y, ????, 2.809, 116sn",530,,,8.65,empirical: 151 pm,2310,30.8,72.7,50,19,42,2,203–220 mpa,0.3,,,,,,,,,karl samuel leberecht hermann and friedrich stromeyer (1817),,,,,,,,,,,
49,indium,in,"indium, in","/??ndi?m/, in-dee-?m",silvery lustrous gray,49,"group 13, p-block",5,post-transition metal,114.8181,[kr] 4d10 5s2 5p1,2,,solid,429.7485,2345,,7.02,,429.7445,,3.281,231.8,26.74,"vapor pressure, p (pa), 1, 10, 100, 1 k, 10 k, 100 k, at t (k), 1196, 1325, 1485, 1690, 1962, 2340",3,pauling scale: 1.78,"1st: 558.3 kj/mol, 2nd: 1820.7 kj/mol, 3rd: 2704 kj/mol",142±5 pm,193,tetragonal,,81.8,diamagnetic,7440-74-6,ferdinand reich and hieronymous theodor richter (1863),,"iso, na, half-life, dm, de (mev), dp, 113in, 4.28%, 113in is stable with 64 neutrons, 115in, 95.72%, 4.41×1014 y, ??, 0.495, 115sn",1196,,hieronymous theodor richter (1864),7.31,empirical: 167 pm,1215,32.1,83.7,11,,,1.2,8.8–10.0 mpa,,,,,,,,,,,,,,,,,,,,,
50,tin,sn,"tin, sn","/?t?n/, tin","silvery-white (beta, ?) or gray (alpha, ?)",50,"group 14 (carbon group), p-block",5,post-transition metal,118.7107,[kr] 4d10 5s2 5p2,2,,solid,505.08,2875,,6.99,,,,"white, ?: 7.03 kj/mol","white, ?: 296.1 kj/mol","white, ?: 27.112 j/(mol·k)","vapor pressure, p (pa), 1, 10, 100, 1 k, 10 k, 100 k, at t (k), 1497, 1657, 1855, 2107, 2438, 2893",4,pauling scale: 1.96,"1st: 708.6 kj/mol, 2nd: 1411.8 kj/mol, 3rd: 2943.0 kj/mol",139±4 pm,217,"face-centered diamond-cubic, gray (?)",,66.8,"gray: diamagnetic, white (?): paramagnetic",7440-31-5,around 3500 bc,,"iso, na, half-life, dm, de (mev), dp, 112sn, 0.97%, 112sn is stable with 62 neutrons, 114sn, 0.66%, 114sn is stable with 64 neutrons, 115sn, 0.34%, 115sn is stable with 65 neutrons, 116sn, 14.54%, 116sn is stable with 66 neutrons, 117sn, 7.68%, 117sn is stable with 67 neutrons, 118sn, 24.22%, 118sn is stable with 68 neutrons, 119sn, 8.59%, 119sn is stable with 69 neutrons, 120sn, 32.58%, 120sn is stable with 70 neutrons, 122sn, 4.63%, 122sn is stable with 72 neutrons, 124sn, 5.79%, 124sn is stable with 74 neutrons, 126sn, trace, 2.3×105 y, ??, 0.380 +, 126sb",1497,,,"white, ?: 7.265 g/cm3
gray, ?: 5.769 g/cm3",empirical: 140 pm,2730,22,115,50,18,58,,50–440 mpa,0.36,,"alpha, ? (gray); beta, ? (white)",,,,,,,,,,,,,,,,,,
51,antimony,sb,"antimony, sb","uk /?ænt?m?ni/, an-ti-m?-nee
us /?ænt?mo?ni/, an-ti-moh-nee",silvery lustrous gray,51,"group 15 (pnictogens), p-block",5,metalloid,121.7601,[kr] 4d10 5s2 5p3,2,,solid,903.78,1908,,6.53,,,,19.79,193.43,25.23,"vapor pressure, p (pa), 1, 10, 100, 1 k, 10 k, 100 k, at t (k), 807, 876, 1011, 1219, 1491, 1858",5,pauling scale: 2.05,"1st: 834 kj/mol, 2nd: 1594.9 kj/mol, 3rd: 2440 kj/mol, (more)",139±5 pm,206,rhombohedral,,24.4,diamagnetic,7440-36-0,3000,,"iso, na, half-life, dm, de (mev), dp, 121sb, 57.21%, 121sb is stable with 70 neutrons, 123sb, 42.79%, 123sb is stable with 72 neutrons, 125sb, syn, 2.7582 y, ??, 0.767, 125te",807,,vannoccio biringuccio (1540),6.697,empirical: 140 pm,3420,11,417,55,20,42,3,294–384 mpa,,,,,,,,,,,,,,,,,,,,,
52,tellurium,te,"tellurium, te","/t??l???ri?m/, te-lewr-ee-?m","silvery lustrous gray (crystalline),, brown-black powder (amorphous)",52,"group 16 (chalcogens), p-block",5,metalloid,127.603,[kr] 4d10 5s2 5p4,2,,solid,722.66,1261,,5.7,,,,17.49,114.1,25.73,"vapor pressure, p (pa), 1, 10, 100, 1 k, 10 k, 100 k, at t (k), (775), (888), 1042, 1266",6,pauling scale: 2.1,"1st: 869.3 kj/mol, 2nd: 1790 kj/mol, 3rd: 2698 kj/mol",138±4 pm,206,hexagonal,,1.97–3.38 w/(m·k),diamagnetic,13494-80-9,franz-joseph müller von reichenstein (1782),,"iso, na, half-life, dm, de (mev), dp, 120te, 0.09%, 120te is stable with 68 neutrons, 121te, syn, 16.78 d, ?, 1.040, 121sb, 122te, 2.55%, 122te is stable with 70 neutrons, 123te, 0.89%, 123te is stable with 71 neutrons, 124te, 4.74%, 124te is stable with 72 neutrons, 125te, 7.07%, 125te is stable with 73 neutrons, 126te, 18.84%, 126te is stable with 74 neutrons, 127te, syn, 9.35 h, ??, 0.698, 127i, 128te, 31.74%, 2.2×1024 y, ????, 0.867, 128xe, 129te, syn, 69.6 min, ??, 1.498, 129i, 130te, 34.08%, 7.9×1020 y, ????, 2.528, 130xe",,"after roman tellus, deity of the earth",martin heinrich klaproth,6.24,empirical: 140 pm,2610,18,,43,16,65,2.25,180–270 mpa,,,,,,,,,,,,,,,,,,,,,
53,iodine,i,"iodine, i","/?a?.?da?n/, /?a?.?d?n/, or /?a?.?di?n/
eye-?-dyn, eye-?-d?n, or eye-?-deen","lustrous metallic gray, violet as a gas",53,"group 17 (halogens), p-block",5,diatomic nonmetal,126.904473,[kr] 4d10 5s2 5p5,2,,solid,386.85,457.4,,,,386.65,819,(i2) 15.52 kj/mol,,(i2) 54.44 j/(mol·k),"vapour pressure (rhombic), p (pa), 1, 10, 100, 1 k, 10 k, 100 k, at t (k), 260, 282, 309, 342, 381, 457",7,pauling scale: 2.66,,139±3 pm,198,orthorhombic,,0.449,diamagnetic,7553-56-2,,,"iso
na
half-life
dm
de (mev)
dp


123i
syn
13 h
?, ?
0.16
123te


124i
syn
4.176 d
?
–
124te


125i
syn
59.40 d
?
–
125te


127i
100%
127i is stable with 74 neutrons


129i
trace
1.57×107 y
??
0.194
129xe


131i
syn
8.02070 d
??, ?
0.971
131xe


135i
syn
6.57 h
??
–
135xe",260,,,4.933,empirical: 140 pm,,,1.3×107 ?·m (at 0 °c),,,7.7,,,,,,,,,(i2) 41.57 kj/mol,"1st: 1008.4 kj/mol, 2nd: 1845.9 kj/mol, 3rd: 3180 kj/mol",,bernard courtois (1811),,,,,,,,,,,
54,xenon,xe,"xenon, xe","/?z?n?n/ or /?zi?n?n/, zen-on or zee-non","colorless gas, exhibiting a blue glow when placed in a high voltage electric field",54,"group 18 (noble gases), p-block",5,noble gas,131.2936,[kr] 4d10 5s2 5p6,2,,gas,161.4,165.051,5.894,,2.942,161.405,289.733,2.27,12.64,21.01,"vapor pressure, p (pa), 1, 10, 100, 1 k, 10 k, 100 k, at t (k), 83, 92, 103, 117, 137, 165",0,pauling scale: 2.6,"1st: 1170.4 kj/mol, 2nd: 2046.4 kj/mol, 3rd: 3099.4 kj/mol",140±9 pm,216,face-centered cubic (fcc),"gas: 178 m·s?1, liquid: 1090 m/s",5.65×10?3 w/(m·k),diamagnetic,7440-63-3,,,"iso, na, half-life, dm, de (mev), dp, 124xe, 0.095%, 124xe is stable with 70 neutrons, 125xe, syn, 16.9 h, ?, 1.652, 125i, 126xe, 0.089%, 126xe is stable with 72 neutrons, 127xe, syn, 36.345 d, ?, 0.662, 127i, 128xe, 1.910%, 128xe is stable with 74 neutrons, 129xe, 26.401%, 129xe is stable with 75 neutrons, 130xe, 4.071%, 130xe is stable with 76 neutrons, 131xe, 21.232%, 131xe is stable with 77 neutrons, 132xe, 26.909%, 132xe is stable with 78 neutrons, 133xe, syn, 5.247 d, ??, 0.427, 133cs, 134xe, 10.436%, 134xe is stable with 80 neutrons, 135xe, syn, 9.14 h, ??, 1.16, 135cs, 136xe, 8.857%, 2.165×1021 y, ????, 2.45783, 136ba",83,,,,,,,,,,,,,,,,,,,,,,william ramsay and morris travers (1898),,,,,,,,,,,
55,cesium,cs,"caesium, cs","/?si?zi?m/, see-zee-?m",pale gold,55,"group 1 (alkali metals), s-block",6,alkali metal,132.905452,[xe] 6s1,2,,solid,301.7,944,,1.843,,,1938,2.09,63.9,32.21,,"+1, ?1 (a strongly basic oxide)",pauling scale: 0.79,"1st: 375.7 kj/mol, 2nd: 2234.3 kj/mol, 3rd: 3400 kj/mol",244±11 pm,343,body-centred cubic (bcc),,35.9,paramagnetic,7440-46-2,robert bunsen and gustav kirchhoff (1860),,"iso, na, half-life, dm, de (mev), dp, 133cs, 100%, 133cs is stable with 78 neutrons, 134cs, syn, 2.0648 y, ?, 1.229, 134xe, ??, 2.059, 134ba, 135cs, trace, 2.3×106 y, ??, 0.269, 135ba, 137cs, syn, 30.17 y, ??, 1.174, 137ba",,"from latin caesius, sky blue, for its spectral colours",carl setterberg (1882),1.93,empirical: 265 pm,,97,205,1.7,,1.6,0.2,0.14,,,,,,,,,,,cesium,,,,,,,,,,
56,barium,ba,"barium, ba","/?b?ri?m/, bair-ee-?m",silvery gray; with a pale yellow tint,56,"group 2 (alkaline earth metals), s-block",6,alkaline earth metals,137.3277,[xe] 6s2,2,,solid,1000,2118,,3.338,,,,7.12,142,28.07,"vapor pressure, p (pa), 1, 10, 100, 1 k, 10 k, 100 k, at t (k), 911, 1038, 1185, 1388, 1686, 2170","+2, +1 (a strongly basic oxide)",pauling scale: 0.89,"1st: 502.9 kj/mol, 2nd: 965.2 kj/mol, 3rd: 3600 kj/mol",215±11 pm,268,body-centered cubic (bcc),,18.4,paramagnetic,7440-39-3,carl wilhelm scheele (1772),,"iso, na, half-life, dm, de (mev), dp, 130ba, 0.11%, (0.5–2.7)×1021 y, ??, 2.620, 130xe, 132ba, 0.10%, 132ba is stable with 76 neutrons, 133ba, syn, 10.51 y, ?, 0.517, 133cs, 134ba, 2.42%, 134ba is stable with 78 neutrons, 135ba, 6.59%, 135ba is stable with 79 neutrons, 136ba, 7.85%, 136ba is stable with 80 neutrons, 137ba, 11.23%, 137ba is stable with 81 neutrons, 138ba, 71.70%, 138ba is stable with 82 neutrons",911,,humphry davy (1808),3.51,empirical: 222 pm,1620,20.6,332,13,4.9,9.6,1.25,,,,,,,,,,,,,,,,,,,,,,
57,lanthanum,la,"lanthanum, la",/?læn??n?m/,silvery white,57,"group n/a, f-block",6,"lanthanide, sometimes considered a transition metal",138.905477,[xe] 5d1 6s2,2,,solid,1193,3737,,5.94,,,,6.2,400,27.11,"vapor pressure (extrapolated), p (pa), 1, 10, 100, 1 k, 10 k, 100 k, at t (k), 2005, 2208, 2458, 2772, 3178, 3726",3,pauling scale: 1.10,"1st: 538.1 kj/mol, 2nd: 1067 kj/mol, 3rd: 1850.3 kj/mol",207±8 pm,,double hexagonal close-packed (dhcp),,13.4,paramagnetic,7439-91-0,carl gustaf mosander (1838),,"iso, na, half-life, dm, de (mev), dp, 137la, syn, 6×104 y, ?, 0.600, 137ba, 138la, 0.089%, 1.05×1011 y, ?, 1.737, 138ba, ??, 1.044, 138ce, 139la, 99.911%, 139la is stable with 82 neutrons",2005,,,6.162,empirical: 187 pm,2475,"?, poly: 12.1 μm/(m·k) (at r.t.)","?, poly: 615 n?·m (at r.t.)",? form: 36.6 gpa,? form: 14.3 gpa,? form: 27.9 gpa,2.5,350–400 mpa,? form: 0.280,360–1750 mpa,,,,,,,,,,,,,,,,,,,
58,cerium,ce,"cerium, ce",/?s??ri?m/,silvery white,58,"group n/a, f-block",6,lanthanide,140.1161,[xe] 4f1 5d1 6s2,2,,solid,1068,3716,,6.55,,,,5.46,,26.94,"vapour pressure, p (pa), 1, 10, 100, 1 k, 10 k, 100 k, at t (k), 1992, 2194, 2442, 2754, 3159, 3705",4,pauling scale: 1.12,,204±9 pm,,"face-centred cubic (fcc), ?-ce",,11.3,paramagnetic,7440-45-1,"martin heinrich klaproth, jöns jakob berzelius, wilhelm hisinger (1803)",,"iso, na, half-life, dm, de (mev), dp, 134ce, syn, 3.16 d, ?, 0.500, 134la, 136ce, 0.186%, 136ce is stable with 78 neutrons, 138ce, 0.251%, 138ce is stable with 80 neutrons, 139ce, syn, 137.640 d, ?, 0.278, 139la, 140ce, 88.449%, 140ce is stable with 82 neutrons, 141ce, syn, 32.501 d, ??, 0.581, 141pr, 142ce, 11.114%, 142ce is stable with 84 neutrons, 143ce, syn, 33.039 d, ??, 1.462, 143pr, 144ce, syn, 284.893 d, ??, 0.319, 144pr",1992,"after dwarf planet ceres, itself named after roman deity of agriculture ceres",carl gustaf mosander (1839),6.77,empirical: 181.8 pm,2100,"?, poly: 6.3 μm/(m·k) (at r.t.)","?, poly: 828 n?·m (at r.t.)",? form: 33.6 gpa,? form: 13.5 gpa,? form: 21.5 gpa,2.5,186–412 mpa,? form: 0.24,210–470 mpa,,,,,398,"1st: 534.4 kj/mol, 2nd: 1050 kj/mol, 3rd: 1949 kj/mol, (more)",,,,,,,,,,,,,
59,praseodymium,pr,"praseodymium, pr","/pre?zi???d?mi?m/, pray-zee-?-dim-ee-?m",grayish white,59,"group n/a, f-block",6,lanthanide,140.907662,[xe] 4f3 6s2,2,,solid,1208,3403,,6.5,,,,6.89,331,27.2,"vapor pressure, p (pa), 1, 10, 100, 1 k, 10 k, 100 k, at t (k), 1771, 1973, (2227), (2571), (3054), (3779)",5,pauling scale: 1.13,"1st: 527 kj/mol, 2nd: 1020 kj/mol, 3rd: 2086 kj/mol",203±7 pm,,double hexagonal close-packed (dhcp),,12.5,paramagnetic,7440-10-0,carl auer von welsbach (1885),,"iso, na, half-life, dm, de (mev), dp, 141pr, 100%, 141pr is stable with 82 neutrons, 142pr, syn, 19.12 h, ??, 2.162, 142nd, ?, 0.745, 142ce, 143pr, syn, 13.57 d, ??, 0.934, 143nd",1771,,,6.77,empirical: 182 pm,2280,"?, poly: 6.7 μm/(m·k) (at r.t.)","?, poly: 0.700 μ?·m (at r.t.)",? form: 37.3 gpa,? form: 14.8 gpa,? form: 28.8 gpa,,250–640 mpa,? form: 0.281,250–745 mpa,,,,,,,,,,,,,,,,,,,
60,neodymium,nd,"neodymium, nd","/?ni?.o??d?mi?m/, nee-o-dim-ee-?m",silvery white,60,"group n/a, f-block",6,lanthanide,144.2423,[xe] 4f4 6s2,2,,solid,1297,3347,,6.89,,,,7.14,289,27.45,"vapor pressure, p (pa), 1, 10, 100, 1 k, 10 k, 100 k, at t (k), 1595, 1774, 1998, (2296), (2715), (3336)","+4, +3, +2 (a mildly basic oxide)",pauling scale: 1.14,"1st: 533.1 kj/mol, 2nd: 1040 kj/mol, 3rd: 2130 kj/mol",201±6 pm,,double hexagonal close-packed (dhcp),,16.5,"paramagnetic, antiferromagnetic below 20 k",7440-00-8,carl auer von welsbach (1885),,"iso, na, half-life, dm, de (mev), dp, 142nd, 27.2%, 142nd is stable with 82 neutrons, 143nd, 12.2%, 143nd is stable with 83 neutrons, 144nd, 23.8%, 2.29×1015 y, ?, 1.905, 140ce, 145nd, 8.3%, 145nd is stable with 85 neutrons, 146nd, 17.2%, 146nd is stable with 86 neutrons, 148nd, 5.8%, 148nd is stable with 88 neutrons, 150nd, 5.6%, 6.7×1018 y, ????, 3.367, 150sm",1595,,,7.01,empirical: 181 pm,2330,"?, poly: 9.6 μm/(m·k) (at r.t.)","?, poly: 643 n?·m",? form: 41.4 gpa,? form: 16.3 gpa,? form: 31.8 gpa,,265–700 mpa,? form: 0.281,345–745 mpa,,,,,,,,,,,,,,,,,,,
61,promethium,pm,"promethium, pm","/pro??mi??i?m/, pro-mee-thee-?m",metallic,61,"group n/a, f-block",6,lanthanide,145,[xe] 4f5 6s2,2,,solid,1315,3273,,,,,,7.13,289,,,3,pauling scale: 1.13 (?),"1st: 540 kj/mol, 2nd: 1050 kj/mol, 3rd: 2150 kj/mol",199,,double hexagonal close-packed (dhcp),,17.9,paramagnetic,7440-12-2,"chien shiung wu, emilio segrè, hans bethe (1942)",grace mary coryell (1945),"iso, na, half-life, dm, de (mev), dp, 145pm, syn, 17.7 y, ?, 0.163, 145nd, 146pm, syn, 5.53 y, ?, 1.472, 146nd, ??, 1.542, 146sm, 147pm, trace, 2.6234 y, ??, 0.224, 147sm",,,"charles d. coryell, jacob a. marinsky, lawrence e. glendenin, harold g. richter (1945)",7.26,empirical: 183 pm,,9,est. 0.75 μ?·m (at r.t.),? form: est. 46 gpa,? form: est. 18 gpa,? form: est. 33 gpa,,,? form: est. 0.28,,,,,,,,,,,,,,,,,,,,
62,samarium,sm,"samarium, sm","/s??m??ri?m/, s?-mair-ee-?m",silvery white,62,"group n/a, f-block",6,lanthanide,150.362,[xe] 4f6 6s2,2,,solid,1345,2173,,7.16,,,,8.62,192,29.54,"vapor pressure, p (pa), 1, 10, 100, 1 k, 10 k, 100 k, at t (k), 1001, 1106, 1240, (1421), (1675), (2061)",4,pauling scale: 1.17,"1st: 544.5 kj/mol, 2nd: 1070 kj/mol, 3rd: 2260 kj/mol",198±8 pm,,rhombohedral,,13.3,paramagnetic,7440-19-9,,,"iso, na, half-life, dm, de (mev), dp, 144sm, 3.08%, 144sm is stable with 82 neutrons, 145sm, syn, 340 d, ?, –, 145pm, 146sm, syn, 6.8×107 y, ?, 2.529, 142nd, 147sm, 15.00%, 1.06×1011 y, ?, 2.310, 143nd, 148sm, 11.25%, 7×1015 y, ?, 1.986, 144nd, 149sm, 13.82%, 149sm is stable with 87 neutrons, 150sm, 7.37%, 150sm is stable with 88 neutrons, 151sm, syn, 90 y, ??, –, 151eu, 152sm, 26.74%, 152sm is stable with 90 neutrons, 153sm, syn, 46.284 h, ??, –, 153eu, 154sm, 22.74%, 154sm is stable with 92 neutrons",1001,after the mineral samarskite (itself named after vasili samarsky-bykhovets),,7.52,empirical: 180 pm,2130,"(r.t.) (?, poly) 12.7 μm/(m·k)","(r.t.) (?, poly) 0.940 μ?·m",? form: 49.7 gpa,? form: 19.5 gpa,? form: 37.8 gpa,,440–600 mpa,? form: 0.274,410–440 mpa,? form,,,,,,,lecoq de boisbaudran (1879),,,,,,,,,,,
63,europium,eu,"europium, eu","/j??ro?pi?m/, ew-roh-pee-?m","silvery white, with a pale yellow tint; but rarely seen without oxide discoloration",63,"group n/a, f-block",6,lanthanide,151.9641,[xe] 4f7 6s2,2,,solid,1099,1802,,5.13,,,,9.21,176,27.66,"vapor pressure, p (pa), 1, 10, 100, 1 k, 10 k, 100 k, at t (k), 863, 957, 1072, 1234, 1452, 1796",3,pauling scale: 1.2,"1st: 547.1 kj/mol, 2nd: 1085 kj/mol, 3rd: 2404 kj/mol",198±6 pm,,body-centered cubic (bcc),,est. 13.9 w/(m·k),paramagnetic,7440-53-1,,,"iso, na, half-life, dm, de (mev), dp, 150eu, syn, 36.9 y, ?, 2.261, 150sm, 151eu, 47.8%, 5×1018 y, ?, 1.9644, 147pm, 152eu, syn, 13.54 y, ?, 1.874, 152sm, ??, 1.819, 152gd, 153eu, 52.2%, 153eu is stable with 90 neutrons, 154eu, syn, 8.59 y, ??, 1.969, 154gd, 155eu, syn, 4.76 y, ??, 0.253, 155gd",863,after europe,,5.264,empirical: 180 pm,,poly: 35.0 μm/(m·k) (at r.t.),poly: 0.900 μ?·m (at r.t.),18.2,7.9,8.3,,,0.152,165–200 mpa,,,,,,,,"eugène-anatole demarçay (1896, 1901)",,,,,,,,,,,
64,gadolinium,gd,"gadolinium, gd","/??æd??l?ni?m/, gad-?-lin-ee-?m",silvery white,64,"group n/a, f-block",6,lanthanide,157.253,[xe] 4f7 5d1 6s2,2,,solid,1585,3273,,7.4,,,,10.05,301.3,37.03,"vapor pressure (calculated), p (pa), 1, 10, 100, 1 k, 10 k, 100 k, at t (k), 1836, 2028, 2267, 2573, 2976, 3535",1,pauling scale: 1.20,"1st: 593.4 kj/mol, 2nd: 1170 kj/mol, 3rd: 1990 kj/mol",196±6 pm,,hexagonal close-packed (hcp),,10.6,ferromagnetic-paramagnetic transition at 293.4 k,7440-54-2,jean charles galissard de marignac (1880),,"iso, na, half-life, dm, de (mev), dp, 148gd, syn, 75 y, ?, 3.271, 144sm, 150gd, syn, 1.8×106 y, ?, 2.808, 146sm, 152gd, 0.20%, 1.08×1014 y, ?, 2.205, 148sm, 154gd, 2.18%, 154gd is stable with 90 neutrons, 155gd, 14.80%, 155gd is stable with 91 neutrons, 156gd, 20.47%, 156gd is stable with 92 neutrons, 157gd, 15.65%, 157gd is stable with 93 neutrons, 158gd, 24.84%, 158gd is stable with 94 neutrons, 160gd, 21.86%, 160gd is stable with 96 neutrons",1836,after the mineral gadolinite (itself named after johan gadolin),lecoq de boisbaudran (1886),7.9,empirical: 180 pm,2680,? poly: 9.4 μm/(m·k) (at 100 °c),"?, poly: 1.310 μ?·m",? form: 54.8 gpa,? form: 21.8 gpa,? form: 37.9 gpa,,,? form: 0.259,510–950 mpa,,,,,,,,,,,,,,,,,,,
